2026/04/19 12:24:06.257, 0 MiB, 81559 MiB, 0 %, 71.45 W
2026/04/19 12:24:07.283, 0 MiB, 81559 MiB, 0 %, 71.48 W
2026/04/19 12:24:08.311, 0 MiB, 81559 MiB, 0 %, 71.48 W
2026/04/19 12:24:09.340, 0 MiB, 81559 MiB, 0 %, 71.47 W
2026/04/19 12:24:10.369, 0 MiB, 81559 MiB, 0 %, 71.45 W
2026/04/19 12:24:11.400, 0 MiB, 81559 MiB, 0 %, 71.49 W
2026/04/19 12:24:12.429, 0 MiB, 81559 MiB, 0 %, 71.48 W
2026/04/19 12:24:13.457, 0 MiB, 81559 MiB, 0 %, 71.49 W
2026/04/19 12:24:14.486, 0 MiB, 81559 MiB, 0 %, 71.46 W
2026/04/19 12:24:15.514, 0 MiB, 81559 MiB, 0 %, 71.50 W
2026/04/19 12:24:16.542, 0 MiB, 81559 MiB, 0 %, 71.48 W
2026/04/19 12:24:17.570, 0 MiB, 81559 MiB, 0 %, 71.51 W
2026/04/19 12:24:18.598, 0 MiB, 81559 MiB, 0 %, 71.51 W
2026/04/19 12:24:19.626, 0 MiB, 81559 MiB, 0 %, 71.47 W
2026/04/19 12:24:20.699, 0 MiB, 81559 MiB, 0 %, 71.50 W
2026/04/19 12:24:21.729, 0 MiB, 81559 MiB, 0 %, 71.51 W
2026/04/19 12:24:22.760, 0 MiB, 81559 MiB, 0 %, 71.53 W
2026/04/19 12:24:23.786, 0 MiB, 81559 MiB, 0 %, 71.51 W
2026/04/19 12:24:24.814, 0 MiB, 81559 MiB, 0 %, 71.54 W
2026/04/19 12:24:25.839, 0 MiB, 81559 MiB, 0 %, 71.57 W
2026/04/19 12:24:26.865, 0 MiB, 81559 MiB, 0 %, 71.54 W
2026/04/19 12:24:27.890, 0 MiB, 81559 MiB, 0 %, 71.50 W
2026/04/19 12:24:28.913, 15985 MiB, 81559 MiB, 2 %, 89.88 W
2026/04/19 12:24:29.935, 15985 MiB, 81559 MiB, 0 %, 117.76 W
2026/04/19 12:24:30.957, 15985 MiB, 81559 MiB, 0 %, 117.78 W
2026/04/19 12:24:31.981, 15985 MiB, 81559 MiB, 0 %, 117.86 W
2026/04/19 12:24:33.004, 15985 MiB, 81559 MiB, 0 %, 117.91 W
2026/04/19 12:24:34.031, 15985 MiB, 81559 MiB, 0 %, 117.95 W
2026/04/19 12:24:35.055, 15985 MiB, 81559 MiB, 0 %, 117.96 W
2026/04/19 12:24:36.078, 15985 MiB, 81559 MiB, 0 %, 117.99 W
2026/04/19 12:24:37.101, 15985 MiB, 81559 MiB, 0 %, 118.04 W
2026/04/19 12:24:38.124, 15985 MiB, 81559 MiB, 0 %, 118.00 W
2026/04/19 12:24:39.150, 15985 MiB, 81559 MiB, 0 %, 118.05 W
2026/04/19 12:24:40.173, 15985 MiB, 81559 MiB, 0 %, 118.05 W
2026/04/19 12:24:41.194, 15985 MiB, 81559 MiB, 0 %, 118.05 W
2026/04/19 12:24:42.218, 15985 MiB, 81559 MiB, 0 %, 117.98 W
2026/04/19 12:24:43.241, 15985 MiB, 81559 MiB, 0 %, 118.20 W
2026/04/19 12:24:44.263, 15985 MiB, 81559 MiB, 0 %, 118.27 W
2026/04/19 12:24:45.284, 15985 MiB, 81559 MiB, 0 %, 118.08 W
2026/04/19 12:24:46.306, 15985 MiB, 81559 MiB, 10 %, 118.32 W
2026/04/19 12:24:47.347, 15985 MiB, 81559 MiB, 12 %, 118.94 W
2026/04/19 12:24:48.385, 15985 MiB, 81559 MiB, 12 %, 118.96 W
2026/04/19 12:24:49.411, 17603 MiB, 81559 MiB, 22 %, 183.34 W
2026/04/19 12:24:50.437, 68247 MiB, 81559 MiB, 1 %, 128.87 W
2026/04/19 12:24:51.503, 68251 MiB, 81559 MiB, 1 %, 117.68 W
2026/04/19 12:24:52.531, 68435 MiB, 81559 MiB, 0 %, 129.28 W
2026/04/19 12:24:53.557, 68441 MiB, 81559 MiB, 20 %, 164.26 W
2026/04/19 12:24:54.584, 68509 MiB, 81559 MiB, 0 %, 151.11 W
2026/04/19 12:24:55.609, 68455 MiB, 81559 MiB, 8 %, 159.73 W
2026/04/19 12:24:56.633, 68511 MiB, 81559 MiB, 0 %, 154.72 W
2026/04/19 12:24:57.657, 68467 MiB, 81559 MiB, 16 %, 144.91 W
2026/04/19 12:24:58.684, 68495 MiB, 81559 MiB, 0 %, 140.19 W
2026/04/19 12:24:59.708, 68479 MiB, 81559 MiB, 0 %, 145.28 W
2026/04/19 12:25:00.734, 68485 MiB, 81559 MiB, 0 %, 134.93 W
2026/04/19 12:25:01.761, 68493 MiB, 81559 MiB, 14 %, 138.53 W
2026/04/19 12:25:02.787, 68497 MiB, 81559 MiB, 0 %, 129.85 W
2026/04/19 12:25:03.814, 68497 MiB, 81559 MiB, 0 %, 120.67 W
2026/04/19 12:25:04.842, 68497 MiB, 81559 MiB, 0 %, 120.54 W
2026/04/19 12:25:05.867, 68497 MiB, 81559 MiB, 0 %, 120.56 W
2026/04/19 12:25:06.890, 68497 MiB, 81559 MiB, 0 %, 120.58 W
2026/04/19 12:25:07.913, 68497 MiB, 81559 MiB, 0 %, 120.26 W
2026/04/19 12:25:08.937, 68497 MiB, 81559 MiB, 0 %, 120.56 W
2026/04/19 12:25:09.960, 68497 MiB, 81559 MiB, 0 %, 120.41 W
2026/04/19 12:25:10.985, 68497 MiB, 81559 MiB, 0 %, 120.50 W
2026/04/19 12:25:12.012, 68497 MiB, 81559 MiB, 0 %, 120.44 W
2026/04/19 12:25:13.038, 68497 MiB, 81559 MiB, 0 %, 120.41 W
2026/04/19 12:25:14.063, 68497 MiB, 81559 MiB, 0 %, 120.44 W
2026/04/19 12:25:15.099, 68501 MiB, 81559 MiB, 38 %, 200.53 W
2026/04/19 12:25:16.126, 69239 MiB, 81559 MiB, 98 %, 454.35 W
2026/04/19 12:25:17.155, 69539 MiB, 81559 MiB, 75 %, 453.70 W
2026/04/19 12:25:18.181, 69539 MiB, 81559 MiB, 75 %, 455.86 W
2026/04/19 12:25:19.209, 69539 MiB, 81559 MiB, 72 %, 586.18 W
2026/04/19 12:25:20.238, 69539 MiB, 81559 MiB, 71 %, 455.80 W
2026/04/19 12:25:21.267, 69539 MiB, 81559 MiB, 97 %, 586.04 W
2026/04/19 12:25:22.295, 69539 MiB, 81559 MiB, 74 %, 471.87 W
2026/04/19 12:25:23.320, 69539 MiB, 81559 MiB, 44 %, 375.43 W
2026/04/19 12:25:24.346, 69539 MiB, 81559 MiB, 72 %, 601.88 W
2026/04/19 12:25:25.374, 69539 MiB, 81559 MiB, 75 %, 455.35 W
2026/04/19 12:25:26.399, 69539 MiB, 81559 MiB, 0 %, 393.95 W
2026/04/19 12:25:27.425, 69541 MiB, 81559 MiB, 73 %, 579.80 W
2026/04/19 12:25:28.452, 69541 MiB, 81559 MiB, 73 %, 458.43 W
2026/04/19 12:25:29.476, 69541 MiB, 81559 MiB, 96 %, 543.71 W
2026/04/19 12:25:30.501, 69541 MiB, 81559 MiB, 71 %, 503.12 W
2026/04/19 12:25:31.528, 69541 MiB, 81559 MiB, 75 %, 464.15 W
2026/04/19 12:25:32.553, 69541 MiB, 81559 MiB, 74 %, 599.19 W
2026/04/19 12:25:33.576, 69541 MiB, 81559 MiB, 74 %, 456.97 W
2026/04/19 12:25:34.604, 69541 MiB, 81559 MiB, 91 %, 518.11 W
2026/04/19 12:25:35.630, 69541 MiB, 81559 MiB, 70 %, 506.27 W
2026/04/19 12:25:36.655, 69541 MiB, 81559 MiB, 74 %, 458.56 W
